Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
lgh_l,-1.42913830769587E-08,-1.65993929435171E-08,-0.0450599789832126,0,0,0,0.00142824832539145,5.69543577401328E-08,-3.86247089189601E-08,3.68353911790843E-14,9.46192216503074E-08,5.06836847719342E-14,1.47764917189299E-07,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lgh_l.STL,0.623529411764706,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lgh_l.STL,,LeftGripperHorn-1,Coordinate System20,Axis_lgh_j,lgh_j,fixed,0.120768478057872,0.0558753059024569,0.023463453809194,1.57079728030247,0,2.09443975085166,lw_l,0,0,0,10,3.142,-0.035,0.035,,,,,,,,
lg1_l,-1.98223240044371E-08,-0.0256137873204723,-0.012035849534824,0,0,0,0.0117431244965764,2.44860529150686E-06,5.85629652798453E-16,9.4288577372213E-15,2.75898867298419E-06,-2.03628151422282E-07,6.42365008370271E-07,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lg1_l.STL,0.686274509803922,0.56078431372549,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lg1_l.STL,,LeftGripper1-1,Coordinate System20,Axis16,lg1_j,prismatic,0,0,0,0,0,0,lgh_l,0,-0.999999999999541,0,10,3.142,-0.03,0.03,,,,,,,,
lg2_l,-7.38866645644265E-09,0.0256137863437295,-0.0120358937684164,0,0,0,0.0117431765792328,2.44859412812398E-06,-2.55986913819617E-15,1.43022449234409E-13,2.75897708315547E-06,2.0362556621743E-07,6.42366305305439E-07,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lg2_l.STL,0.686274509803922,0.56078431372549,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lg2_l.STL,,LeftGripper2-1,Coordinate System20,Axis16,lg2_j,prismatic,0,0,0,0,0,0,lgh_l,0,-0.999999999999541,0,10,3.142,-0.03,0.03,,,,,,,,
rsp_l,0.000847328053114799,1.66822174318959E-06,0.0545118845637094,0,0,0,0.16355428325589,0.00030370094095202,3.91206347582701E-09,-2.5547545913104E-06,0.000276109674876471,-4.52774066186934E-09,0.000154352652656658,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rsp_l.STL,0.56078431372549,0.686274509803922,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rsp_l.STL,,RightShoulderPitch-1,Coordinate System21,Axis18,rsp_j,revolute,0,-0.138800000000006,0.500000000000006,1.57079632981871,0.196914054379497,0,adjustable_l,0,0,-1,10,3.142,-6.283,6.283,,,,,,,,
rsr_l,-0.00350814345242498,0.0743127205818105,0.0273796901178489,0,0,0,0.157928153292145,0.00034464317766051,5.52373098763718E-06,8.94622093409288E-07,0.000224110179722364,-1.40823648203337E-05,0.000328127295269048,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rsr_l.STL,0.686274509803922,0.56078431372549,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rsr_l.STL,,RightShoulderRoll-1,Coordinate System22,Axis19,rsr_j,revolute,0.0293971247941347,0,0.0724657082647111,3.14159265358979,1.5707963267949,0,rsp_l,0,0,-1,10,3.142,-3.665,3.665,,,,,,,,
rsy_l,-0.000244352520069213,3.8188727552374E-05,0.069507882230415,0,0,0,0.192129150343206,0.000525107976547104,-3.39207450617026E-06,2.08591910465285E-07,0.000492307507817521,-1.95740619062457E-07,0.000211438422925958,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rsy_l.STL,0.56078431372549,0.686274509803922,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rsy_l.STL,,RightShoulderYaw-1,Coordinate System23,Axis20,rsy_j,revolute,-0.00503334610936604,0.108098588992529,0.0284657082647115,-1.5707963267949,0,0.0465289448262237,rsr_l,0,0,-1,10,3.142,-6.283,6.283,,,,,,,,
rel_l,-0.0114002430716916,-0.0104873884503993,0.00675651017719425,0,0,0,0.0198133815984573,1.01325723262933E-05,-8.62879623281325E-06,9.6936107973986E-07,1.1574579045261E-05,8.91734915555488E-07,2.09399517250663E-05,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rel_l.STL,0.686274509803922,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rel_l.STL,,RightElbowLink-1,Coordinate System24,Axis21,rel_j,continuous,-0.0258938712840666,0.00270032888412561,0.0689657082647099,-1.57079632679491,0.00211465444426914,1.46688743973895,rsy_l,0,0,-1,10,3.142,0,0,,,,,,,,
rep_l,0.071093578170502,0.00576297803687875,0.00154985451107661,0,0,0,0.195275356474873,0.000201924046686431,-7.51891269487446E-05,2.40002821473007E-05,0.000775468803475862,9.27600184248874E-06,0.000741161460550214,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rep_l.STL,0.623529411764706,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rep_l.STL,,RightElbowPitch-1,Coordinate System25,Axis22,rep_j,revolute,1.86435626352011E-05,0.000178776005417075,0.153965518214835,-1.5707963267949,0.00211465444426911,1.46688743973896,rsy_l,0,0,-1,10,3.142,-1.222,1.222,,,,,,,,
rey_l,-0.00136892720758028,2.86486289469146E-07,0.0560168656011481,0,0,0,0.203158032670983,0.000152640299239931,-1.31562211565358E-09,1.05214907255213E-06,0.000131977450808796,3.33198618889875E-10,0.000104029795275727,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rey_l.STL,0.56078431372549,0.686274509803922,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rey_l.STL,,RightElbowYaw-1,Coordinate System26,Axis23,rey_j,revolute,0.136388824949731,0.0125576139964159,0,2.42840220157631,1.57079630572147,2.5310541833392,rep_l,0,0,1,10,3.142,-6.283,6.283,,,,,,,,
rw_l,-0.0522601687992916,0.0284681082932161,0.024323634809166,0,0,0,0.118265596627728,8.46697260682097E-05,1.95170501788083E-05,-5.3128112504816E-06,0.000118637953269733,2.89376311845307E-06,0.000112047357836392,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rw_l.STL,0.56078431372549,0.686274509803922,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rw_l.STL,,RightWrist-1,Coordinate System27,Axis24,rw_j,revolute,-0.024897221115233,0,0.0589657082655256,0,1.5707963267949,0,rey_l,0,0,-1,10,3.142,-3.665,3.665,,,,,,,,
