elapsed_seconds,Right_Shoulder_Pitch,Right_Shoulder_Yaw,Right_Elbow_Pitch,Right_Elbow_Yaw,Right_Wrist,Left_Shoulder_Pitch,Left_Shoulder_Yaw,Left_Elbow_Pitch,Left_Elbow_Yaw,Left_Wrist,Mouth,Neck_nod,Neck_rotation
6.5768,2277,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2068,2107
6.6853,2277,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2052,2106
6.7932,2277,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2048,2106
6.9015,2277,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2047,2108
7.0101,2277,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2046,2109
7.1181,2273,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2046,2107
7.2266,2261,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2046,2111
7.3366,2242,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2047,2111
7.4451,2219,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2049,2111
7.5536,2197,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2049,2111
7.6626,2185,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2052,2111
7.7708,2184,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2059,2111
7.8787,2184,1833,1683,2347,1790,2049,2050,2074,2048,2053,2050,2060,2111
